RTJTAlmpfiiOAckMP7C8xYFENICS;impair or slow in rate of deactiv (tau deactivation);impairment or slowing in rate of deactivation (tau deactivation);Impairment or slow in rate of deactiv (tau deactivation)@en-us;r t j t almpfii o ack m p7 c8x y;impairment or slowing in rate of deactivation (tau deactivation)@en-us
RzxAghzfGsgvWX3Ibm1dzrFENICS;overall mixed or unclear functional effect due to single-cell neuronal properties;overall mixed or unclear functional effect due to single-cell neuronal properties@en-us;rzx aghzf gsgv w x3 ibm1dzr;Overal mix or unclear function effect due to single-cel neuron properties@en-us;overal mix or unclear function effect due to single-cel neuron properti
R8boLFt6478JfJZLRmWETDiFENICS;Moder depolar shift of voltag depend of fast inactiv (right shift)@en-us;r8bo l ft6478 jf j z l rm w e t di;moderate depolarizing shift of voltage dependence of fast inactivation (right shift)@en-us;moderate depolarizing shift of voltage dependence of fast inactivation (right shift);moder depolar shift of voltag depend of fast inactiv (right shift)
R8IERLt4CJaeXzaPCOzquSBFENICS;severe decrease in peak current due to reduced opening probability@en-us;severe decrease in peak current due to reduced opening probability;sever decreas in peak current due to reduc open probabl;r8 i e r lt4 c jae xza p c ozqu s b;Sever decreas in peak current due to reduc open probability@en-us
R9Up0isZLT8RDpuQWBovMasFENICS;moderate hyperpolarizing shift of voltage dependence of fast inactivation (left shift)@en-us;moderate hyperpolarizing shift of voltage dependence of fast inactivation (left shift);r9 up0is z l t8 r dpu q w bov mas;r9 up0i z l t8 r dpu q w bov mas;moder hyperpolar shift of voltag depend of fast inactiv (left shift);Moder hyperpolar shift of voltag depend of fast inactiv (left shift)@en-us
Rzl8n5oqmxsKFuEQoGs7ysFENICS;normal rate of slow inactivation (tau inactivation)@en-us;normal rate of slow inactiv (tau inactivation);rzl8n5oqmxs k fu e qo gs7ys;normal rate of slow inactivation (tau inactivation);rzl8n5oqmx k fu e qo gs7ys;Normal rate of slow inactiv (tau inactivation)@en-us
RD0BDIIzgUe4mtGYW27xz6HFENICS;Overal normal function due to single-cel neuron properties@en-us;overal normal function due to single-cel neuron properti;overall normal function due to single-cell neuronal properties@en-us;r d0 b d i izg ue4mt g y w27xz6 h;overall normal function due to single-cell neuronal properties
RDM0lP4PmjUTUE8TDmx0vhOFENICS;mild impair or slow in rate of activ (tau activation);mild impairment or slowing in rate of activation (tau activation)@en-us;r d m0l p4 pmj u t u e8 t dmx0vh o;Mild impair or slow in rate of activ (tau activation)@en-us;mild impairment or slowing in rate of activation (tau activation)
RF33PdZrU9lQq5U6wsPKjuFENICS;normal rate of deactiv (tau deactivation);r f33 pd zr u9l qq5 u6ws p kju;r f33 pd zr u9l qq5 u6w p kju;normal rate of deactivation (tau deactivation)@en-us;Normal rate of deactiv (tau deactivation)@en-us;normal rate of deactivation (tau deactivation)
RDXWDoljWFzQfFl2YI7DCtAFENICS;effect on voltag depend of slow inactiv;Effect on voltag depend of slow inactivation@en-us;effect on voltage dependence of slow inactivation;r d x w dolj w fz qf fl2 y i7 d ct a;effect on voltage dependence of slow inactivation@en-us
RM0V7djo7NgfCr6xB32iaxFENICS;r m0 v7djo7 ngf cr6x b32iax;mild decrease in peak current@en-us;mild decreas in peak current;Mild decreas in peak current@en-us;mild decrease in peak current
RBRr02cNOD5wl0pS44hXqqXFENICS;Mild-moder hyperpolar shift of voltag depend of fast inactiv (left shift)@en-us;mild-moderate hyperpolarizing shift of voltage dependence of fast inactivation (left shift)@en-us;mild-moder hyperpolar shift of voltag depend of fast inactiv (left shift);r b rr02c n o d5wl0p s44h xqq x;mild-moderate hyperpolarizing shift of voltage dependence of fast inactivation (left shift)
RBH2UZNWWHmsOgLS1XKdf8NFENICS;normal resurg current;Normal resurg current@en-us;normal resurgent current;r b h2 u z n w w hms og l s1 x kdf8 n;normal resurgent current@en-us
R7rZoUywSrlnsR2QEdxddqSFENICS;r7r zo uyw srlns r2 q edxddq s;normal recovery from fast inactivation@en-us;normal recovery from fast inactivation;Normal recoveri from fast inactivation@en-us;normal recoveri from fast inactiv
R8KqfFzWrSaU9t4uXABtJRKFENICS;effect on resurg current;effect on resurgent current;r8 kqf fz wr sa u9t4u x a bt j r k;Effect on resurg current@en-us;effect on resurgent current@en-us
R9SbYpUEIgenr1NAQGsVJLAFENICS;r9 sb yp u e igenr1 n a q gs v j l a;effect on voltag depend of fast inactiv;effect on voltage dependence of fast inactivation@en-us;Effect on voltag depend of fast inactivation@en-us;effect on voltage dependence of fast inactivation
Rkesu9uJL9z5Q6W38xiAhQFENICS;severe hyperpolarizing shift of voltage dependence of activation (left shift);severe hyperpolarizing shift of voltage dependence of activation (left shift)@en-us;Sever hyperpolar shift of voltag depend of activ (left shift)@en-us;rkesu9u j l9z5 q6 w38xi ah q;sever hyperpolar shift of voltag depend of activ (left shift)
